Column1,Label,Raw_Comments
24,Sadness,"Càng xem càng thấy bản thân kém cỏi,trước cứ nghĩ xe đạp là thiết bị cơ bản ai cũng biết rõ.Xem xong mới thấy còn nhiều thứ không biết một tí gì"
25,Other,Dạ bộ đề em nó để shinsmax là fake phải không anh
26,Other,Cho hỏi tên ghi đông là gì<br />Mình thích ghi đông kiểu đó<br />Giá bao nhiêu và ở đâu bán vậy bạn<br />Cám ơn bạn
27,Enjoyment,Anh ơi làm sao để sửa cu đề lớn nhất
28,Sadness,anh ơi lift xe của em nó kiểu như ko thể xang dc số nữa. mà nó chỉ ở số 7 thôi giờ em làm sao ạ. Anh chỉ giúp em với. em cảm mơn ạ \
29,Fear,Ad ơi. Xe mình mua về có 7 số nhưng đẩy lên cao nhất thì líp cũng chỉ nhảy có 3 số là tối đa thì phải chỉnh như thế nào vậy
30,Fear,"anh ơi, s e chỉnh bánh xe giữa thẳng hàng vs líp r mà nó cũng không xuống đc líp nhỏ nhất v ạ"
31,Fear,ad ơi xe e bị té ngã nên cái pas cùi đề nó bị méo chỉnh thế nào thì cùi đề cũng ko thẳng hàng vs líp có cách nào sửa ko ạ
32,Sadness,Ad cho mk hỏi tại sao điều chỉnh đc cùi đề r mà bánh xe sau của mk quay ko đc bon cho lắm (phanh đã chỉnh ngon và ko bó)
33,Fear,"A ơi cho e hỏi là bây h đĩa trước mà bị chạm vào cái bộ phận chỉnh đĩa phát ta tiếng kêu thì làm sao ạ (đĩa số 3 ạ) khi e xuống đề số 3 thì lại không xuống dc, xuống đề số 6 thì nó kẹt ở đề số 5 rồi xuống số 7 nó mới nhảy xuống thì làm sao ạ? Lên đề số 2 3 4 thì lại có tiếng, bây h làm sao để sửa ạ"
34,Anger,"Bạn dùng từ ( dùng khóa thích hợp )nói nó hơi khó  nghe , nói ngay là ở đây là Lục giác"
35,Enjoyment,Anh làm clip hướng dẫn đan căm và cân bánh xe sau đi a
36,Sadness,"anh ơi cho em hỏi là líp sau đang ở dĩa 6 , em đề trên tay lên số 4 và số 3 và em quay bàn đạp thì nó chỉ nhảy nổi một đĩa và đề nó kêu tiếng bịch bịch,  mong anh giúp em"
37,Other,Cho em hỏi lúc giác của anh bai nhiêu
38,Enjoyment,"Mik đang chạy chiếc Shimano , cảm ơn bn chỉ"
39,Enjoyment,Tuyệt quá! Xin cám ơn.
40,Surprise,đề 9 speed xài cho 7 líp được không anh
41,Other,A ơi mua bội thắng dầu ở đâu thế ???
42,Sadness,"Nếu như xe e khi chỉnh dây đề nhưng cùi đề ko hoạt động ko di chuyển kaf sao ạ, dây vẫn căng vẫn lỏng"
43,Surprise,Sao đề của em nó cứng ngắt ko chỉnh lên được (đề sao)
44,Sadness,Xe em ko lên đc líp lớn nhất anh ơi
45,Disgust,Nếu mà khi kéo tay đề mà nặng quá thì phải làm sao ạ ?
46,Other,"Bạn cho mình hỏi, cùi đề sau, trước, tay đề của hãng nào rẻ mà tốt! Cảm ơn nhiều!"
47,Surprise,Sao mình đi dĩa lớn vs líp nhỏ nhất đạp nó xảy ra tiếng kêu to là sao vậy add?
48,Disgust,E ko có dầu chuyên dụng xài nhớ xe tay ga tra vào giờ ngày nào cũng phải lau 😂😂😂
49,Sadness,"Anh ơi xe em ko xuống lip nhỏ được, từ lip 3 xuốg bấm đề bị cứng ko bấm được luôn ạ, a chỉ e với"
50,Other,"ad cho hỏi xe mình 6 tầng, thay líp 7 tầng mà ko sử dụng hết 7 tầng,có phải bộ sang số 6 tầng ko phù hợp đúng ko ad ? Xin cảm ơn trước."
51,Sadness,Mình bị hư 8 chỗ còn chạy được ngày mai là hư
52,Surprise,Cái để chỉnh của e nó bị cứng thì làm sao vậy
53,Enjoyment,"Cám ơn anh, bài hd rất chi tiết"
54,Disgust,Hai con ốc h và l bị rơi có thể thay thế đc k vạya
55,Disgust,Xe đạp kiểu road bị nhảy líp thì chỉnh làm sao vậy anh em mất 3 tiếng để chỉnh mà nó vẫn nhảy
56,Fear,Anh ơi của em lên được líp nhưng k nhả líp đc
57,Surprise,Anh ơi . Em xài cùi đề shimano Rd tz31 mà sao em tìm mãi ko thấy ốc góc vậy ah?
58,Sadness,Em bị mất óc H và L có sao không ạ?
59,Other,Em dùng shimano fd tz50 mà xe có 7 tầng lip thì làm sao chỉnh đc ạ
60,Anger,Ah ơi sao cục đề sau của em rất nặng em ko thể lên clip to nhất đc
61,Anger,Em đi học tụ nó phá cù đề  xe hư lôn
62,Disgust,"Thanks đã chia sẻ, nhưng mình vận dụng vào tay đề vặn của xe đạp con mình vẫn ko thể xuống hết líp nhỏ nhất được và lên tầng cao nhất líp to thì kêu rất to và bị kẹt cứng sên lại."
63,Enjoyment,Em có chiếc xe mtb 650k bố em mua cho em
64,Disgust,Tôi mới mua bộ group r 7000 shimano tôi lắp tay đề chỉnh các kiểu nhưng quá nặng tôi đã ktra dây đề ko bị đứt gảy mà khi chuyể líp nặng lắm. Các bạn tư vấn giúp tôi.xin cám ơn.
65,Enjoyment,thank
66,Surprise,"Anh ơi sao cùi đề sau em lên cái cuối ko đc , có lúc lên nhưng ko khớp vs dây xích"
67,Other,Ah ơi nếu líp lên ko đc thì vặn theo chiều nào ah
68,Enjoyment,Đã đăng ký kênh. Rất hay và bổ ích đối với người mới tập chơi xe đạp thể thao như mình. Cám ơn video đã giúp mình hiểu ra đc nhiều vấn đề chuyên môn!
69,Other,Xe anh mấy triệu
70,Sadness,Ah ơi xe em ko chỉnh đc lói trước thì làm sao ah
71,Sadness,Cái đề sau của em không lên dc líp nhỏ nhất phải làm sao đây anh
72,Disgust,anh ơi cù đề xe đằng trước của em khó nên đc số 3 thì phải làm thế nào ?<br />mong ah giúp
73,Other,Dị shimano và sram có cùi đề giống nhau ko ??? mong ad trả lời
74,Enjoyment,Xe mình bữa nay gắn đề
75,Anger,"Chào bạn. Xe mình tay chỉnh tăng lip bị nặng. Sên đang ở lip nhỏ muốn lên lip lớn rất khó, thường phải bấm 2 lần mới chuyển được 1 lip kế bên. Trong khi cần bấm xả thì hoạt động tốt"
76,Enjoyment,"Bạn hướng dẩn thật chi tiết,  rành mạch &amp; rõ ràng nhất . Cám ơn bạn nhiều."
77,Sadness,Xe em k chỉnh líp đc đến líp nhỏ nhất được thì mình khắc phục thế nào anh &lt;3 mong anh hướng dẫn ạ
78,Fear,"Xe em bị kêu lách cách ở cổ xe thường xuyên, em đã siết ốc lại nhưng vẫn k khắc phục được"
79,Enjoyment,"Anh ơi,em mới chơi sram nên chọn xo hay gx vậy anh"
80,Other,"cho e hỏi là xe e líp 7 thì có thể lên được líp 8 ko ạ, lên xong có bị sao ko ạ"
81,Other,Facebook của a là gì vậy ạ
82,Enjoyment,"Ah ơi làm clip gắn cùi đề trước sau cho ah em mới chơi học hỏi đi ah , cám ơn nhiều ."
83,Enjoyment,"Hay , chuyên mghiệp ."
84,Enjoyment,Clip rất có ích như người chơi xe đạp như mình
85,Surprise,Chú con đi chiếc xe đạp fornix ms50 cụ đề của con nó bị gì mà khi tăng giảm lip lip không đúng ví dụ líp 7 mà lên líp 5 mà cụ đề bị nghiêng nữ chú có thể chỉ con được không
86,Surprise,Cái đồ để dựng xe lên để quay bánh chỉnh đề là gì vậy nhỉ ad ?
87,Sadness,Anh sao em dang chay cai cui de no nhay
88,Anger,Ad cho hỏi mình đang có bộ đề shimano mà ba mình ko biết xịt dầu RP7 vào bộ đề trên tay lái thì bị tuột đồ ko chỉnh đề được nữa. Ad có biết cách khắc phục ko ạ
89,Other,Bạn có zalo ko để mình gửi hình cho bạn xem
90,Other,Thật đấy ! Do ko post hình đc nên ad khó hình dung thôi
91,Other,"Ad ơi cho hỏi ở đâu có bán bộ tuýn(chụp,khẩu) mở bulong 5 cạnh."
92,Enjoyment,"Cảm ơn Viet Riders. Xe em hồi trước chạy được líp nhỏ nhất thôi, mấy íp kia ko qua được hoặc kêu tạch tạch,nhờ có video này mà bây giờ em đã chạy đc tất cả các líp"
93,Enjoyment,Hay
94,Sadness,em không hiểu khúc cuối cho lắm
95,Surprise,Xe em không xuống dc líp 1 khi xuống líp hay cêu tạch tạch
96,Enjoyment,Hay qua
97,Other,mỡ bôi trơn ổ trục mua ở đâu anh
98,Surprise,chỉnh như anh rồi mà lên tầng nó ko đc mượt ( kêu tạch tạch ) là sao a
99,Surprise,sao em chỉnh chuẩn mà chuyển líp vân ko mượt
